permalink_url,title,message,Primary_Category,Primary_Category_Other,Secondary_Category,Secondary_Category_Other,Video_Type,voice_first_3_seconds,visual_first_3_seconds,visual_first_3_seconds_Other,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,thumbnail_famous_personality_name,thumbnail_famous_personality_profession
https://www.facebook.com/1954072204870360/posts/2549937911950450/,Air Conditioners To Be Set At Default Temperature,"अब से एसी में 24 डिग्री पर सेट रहेगा तापमान, जानिए सरकार ने क्यों उठाया ये कदम

Bureau of Energy Efficiency Ministry of Environment, Forest & Climate Change, Government of India",Government,,Policies/Norms/Rules,,Informative,text only (to),other,Object (AC),neutral,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2548981535379421/,Travel In Tejas Express And Get Your House Insured,"घर में चोरी होने पर क्यों मुआवजा देगी आईआरसीटीसी?

Ministry of Railways, Government of India",Government,,Policies/Norms/Rules,,Informative, common voice (optv),commoner (np),,relevant,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2550730715204503/,200 Visually Challenged Athletes Participate In Marathon,"कहां 200 नेत्रहिन एथलीट के लिए आयोजित हुई स्पेशल मैराथॉन? 

Pinkathon",Sports & Games,,"X-Factor, Other Sports",,"Event, Inspiring",text only (to),other,Event location,relevant,Crowd,"Happy, Action",,
https://www.facebook.com/1954072204870360/posts/2548036172140624/,Fact File - Events That Led To Violence In JNU,"जेएनयू में कब, क्या हुआ?",Judiciary & Crime,,"Crime, Facts",," Controversial,Viral", common voice (optv),commoner (np),,no music,Crowd,Anger,,
https://www.facebook.com/NEWJplus/videos/834313456991810/,Who was Irani General Qassem Soleimani?,कौन थे अमेरिकी हमले में मारे गए जनरल कासिम सुलेमानी?,Global News,,"Army, Famous Personality",,"General, Profile",text only (to),other,Attack visuals/ Visual related to story,neutral,Famous Personality,Neutral ,Qassem Soleimani,Politics
https://www.facebook.com/1954072204870360/posts/2547763365501238/,Australian Bushfire Causes Devastating Impact On Its Wildlife,ऑस्ट्रेलिया में लगी आग से 50 करोड़ जानवरों की मौत,Global News,,"crisis, Animals",,"Emotional, Scary", common voice (optv),commoner (np),,no music,"Nature, Animal",Neutral ,,
https://www.facebook.com/1954072204870360/posts/2546812465596328/,Nankana Sahib Attack's Main Accuse Imran Chisti Gets Arrested,पाकिस्तान में क्यों सुरक्षित नहीं है अल्पसंख्यक?,Global News,,"Religion,  Crime, Famous Personality",,"Trending, Controversial", common voice (optv),Crowd,,no music,Crowd,Anger,,
https://www.facebook.com/1954072204870360/posts/2550744891869752/,An Innovative Mini Car With Worth Just Rs 56000,"कभी स्कूल नहीं गए बवर सिंह ने कैसे ₹56,000 में  बना दी कार?

Skill India",Technology & Innovations,,Person specific,,General ,text only (to),other,Men riding jeep,relevant,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2547679608842947/,Gautam Gambhir Installs India's First Smog Tower In Delhi,"कैसे दिल्ली का प्रदूषण अब 80 फीसदी तक होने जा रहा है कम?

Gautam Gambhir",Environment/Ecosystem,,"Crisis, Famous Personality",,Informative,text only (to),other,Object in question / Object about which the video is/ Air purifier,neutral,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2546799592264282/,Several Students Left Injured As Violence Break Out In JNU Campus,अब जेएनयू में हुआ कौन सा विवाद?,Judiciary & Crime,,Crime,,"Emotional, Scary", common voice (optv),commoner (np),,no music,Commoner,"Anger, Action",,
https://www.facebook.com/1954072204870360/posts/2546921442252097/,BJP Launches a Nationwide Campaign To Support CAA,"दिल्ली की गलियों में घूमे अमित शाह, नागरिकता कानून के समर्थन में बीजेपी ने शुरु किया अभियान

Bharatiya Janata Party (BJP)",Government,,"Protests/Rallies, Judicial",,Controversial,Crowd,Crowd,,low,Famous Personality,Happy ,Amit Shah,Politics
https://www.facebook.com/1954072204870360/posts/2547815268829381/,Fan Makes Virat Kohli's Portrait Using Old Mobile Phones And Wires,"विराट के फैन ने पुराने मोबाइल से कैसे बनाई उनकी खास तस्वीर?

Virat Kohli",Skill & Art ,,"Cricket, Visual Arts, X-factor",,Trending,text only (to),famous personality (fp),,relevant,Famous Personality,Neutral ,Virat Kohli,Sport
https://www.facebook.com/1954072204870360/posts/2543701089240799/,Narendra Modi Once Again Shows His Class In Front Of A Large Audience By Touching A Woman's Feet,"क्यों महिला के सामने झुके पीएम मोदी?

Narendra Modi Bharatiya Janata Party (BJP)",Politics,,"Famous Personality,Person Specific",,Trending,text only (to),famous personality (fp),,relevant,Famous Personality,Neutral ,Narendra Modi,Politics
https://www.facebook.com/1954072204870360/posts/2543690275908547/,Sachin Tendulkar Shares An Inspirational Video Of A Disabled Cricketer,"कौन है वो दिव्यांग क्रिकेटर जिसका खेल देख दंग रह गए सचिन तेंदुलकर ?

Sachin Tendulkar",Sports & Games,,"Person Specific, Cricket, X-Factor",,"Shocking/Surprising, Inspiring",text only (to),commoner (np),,neutral,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2543599709250937/,ISRO Director Plays Flute During A Commitee Meeting,"विज्ञान के अलावा किस कला में माहिर हैं इसरो के ये डायरेक्टर? 

ISRO - Indian Space Research Organisation",Technology & Innovations,,"Famous Personality, Music",,"Shocking/Surprising,Inspiring",other,famous personality (fp),,no music,Famous Personality,Action,Kailasavadivoo Sivan,Science & Tech
https://www.facebook.com/1954072204870360/posts/2543648599246048/,Job Of The Newly Formed 5th Division DMA,"क्या काम करेगा रक्षा मंत्रालय का 5वां विभाग डीएमए? जिसके चीफ हैं जनरल बिपिन रावत

ADGPI - Indian Army",Forces,,"Army, Facts",,Informative,text only (to),famous personality (fp),,neutral,Famous Personality,Happy ,Bipin Rawat,Army
https://www.facebook.com/1954072204870360/posts/2542914882652753/,Modi Govt Announces Rs 102 Lakh Crores To Boost Infrastructure,"क्या है मोदी सरकार का 5 ट्रिलियन इकोनॉमी बनाने का प्लान?

Nirmala Sitharaman Ministry of Finance, Government of India",Government,,Economy/Economic,,Informative,text only (to),other,Buildings,neutral,Famous Personality,Happy ,Nirmala Sitharaman,Politics
https://www.facebook.com/1954072204870360/posts/2542698386007736/,Pope Francis Slaps a Woman's Hand Who Tried To Pull Him,क्यों नए साल पर आया पोप को गुस्सा?,Global News,," Religion, Famous Personality",,"Controversial, Viral", common voice (optv),Crowd,,no music,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2543637219247186/,Moradabad Railway Station Installs Biodegradable Plants To Save Environment,मुरादाबाद पर स्टेशन के कचरे से कैसे हरे-भरे हो रहे हैं  पेड़-पौधे?,Environment/Ecosystem,," Crisis, Conservation",,General ,text only (to),commoner (np),,neutral,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2542795045998070/,Infant Death Toll Rises Over 100 At Kota Hospital,"कोटा में 100 बच्चों की मौत के बावजूद जारी है प्रशासन की लापरवाही

Ministry of Health and Family Welfare",Government,,Health,,Shocking/Surprising, common voice (optv),commoner (np),,no music,Building/ Factory,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2542725459338362/,ISRO Plans Key Missions In 2020,"कैसे होगा 2020 इसरो का साल?

ISRO - Indian Space Research Organisation",Government,,Policies/Norms/Rules,,Informative,text only (to),other,space aircraft,relevant,Object,Action,,
https://www.facebook.com/1954072204870360/posts/2543966789214229/,Kapil Dev - The Man Who Led India To The First Ever Cricket World Cup,"टीम इंडिया को पहली बार वर्ल्ड कप जीताने वाले कप्तान कपिल देव का आज है जन्मदिन

Indian Cricket Team Ranveer Singh",Sports & Games,,"Famous Personality, Cricket",,"Inspiring, Informative",other,famous personality (fp),,relevant,Famous Personality,Happy ,Kapil Dev,Sport
https://www.facebook.com/1954072204870360/posts/2544053769205531/,#SundayStruggle - Superstar Amitabh Bachchan And His Journey,"कई सारे rejection के बावजूद कैसे सदी के महानायक बने Amitabh Bachchan

Amitabh Bachchan

(via फिल्मी NEWJ)",Entertainment,,"Famous Personality, Bollywood",,Profile, voice of famous personality (fpv),famous personality (fp),,low,Famous Personality,Happy ,Amitabh Bachchan,film
https://www.facebook.com/1954072204870360/posts/2544041572540084/,Happy Birthday Mamata Banerjee - The Woman To Change The Face Of West Bengal,"मां, माटी, मानुष की राजनीति करने वाली ममता

 All India Trinamool Congress",Politics,,Famous Personality,,"Day-specific, Profile",text only (to),famous personality (fp),,neutral,Famous Personality,Action,Mamta Banerjee,Politics
https://www.facebook.com/1954072204870360/posts/2543763025901272/,The Unique Mosque And Its Unique Beliefs,"ये है इकलौती ऐसी दरगाह जहां फूल नहीं बल्कि पत्थर चढ़ाते हैं, क्या है इसकी वजह?",Places / Destinations,,"Religion, Facts",,Shocking/Surprising,text only (to),other,Darga (Masjid),neutral,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2543917099219198/,This Old Man Created A Museum With His Old Collections,"पुराने सामान को संजोकर रखने का था शौक, देखते ही देखते घर बन गया म्यूजियम",Skill & Art ,,"X-Factor, Person Specific",,"Shocking/Surprising, Inspiring",text only (to),commoner (np),,neutral,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2539490079661900/,General Bipin Rawat Set To Become India's First Chief Of Defence,"बिपिन रावत होंगे देश के पहले चीफ ऑफ डिफेंस स्‍टाफ, क्यों जरुरी था ये पद?

ADGPI - Indian Army | Indian Air Force | Indian Navy Ministry of Defence, Government of India",Forces,,"Army, Famous Personality",,General ,text only (to),famous personality (fp),,relevant,Famous Personality,Proud,Bipin Rawat,Army
https://www.facebook.com/1954072204870360/posts/2539277393016502/,When Shahid Afridi Broke His Own TV Set,"पहले मैच हारने पर टूटते थे टीवी, शाहीद अफरीदी ने आरती सुन तोड़ा टीवी",Sports & Games,,"Famous Personality, Cricket",,Shocking/Surprising, voice of famous personality (fpv),famous personality (fp),,low,Famous Personality,Happy ,Shahid Afridi,Sport
https://www.facebook.com/1954072204870360/posts/2539290943015147/,Social Media Goes Gaga Over Elderly Couple's Marriage,"67 का दूल्हा, 65 की दुल्हन, सोशल मीडिया पर ट्रेंड करने लगा ये 'नवदंपति'",Lifestyle,,Person Specific,,Trending,text only (to),other,Old couple marriage,relevant,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2539520352992206/,NEWJ Rewinds 2019 - Leaders Who Bid Us Adieu,"2019 में इन नेताओं ने कहा हमें अलविदा

#NEWJRewinds2019

Bharatiya Janata Party (BJP) | Indian National Congress",Politics,,Famous Personality,,"Compilation, Emotional",text only (to),famous personality (fp),,neutral,Famous Personality,Happy ,"Sushma Swaraj, Sheila Dixit",Politics
https://www.facebook.com/1954072204870360/posts/2536236403320601/,Farmer Builds PM Modi's Temple In Tiruchirappalli,"तमिलनाडु के किसान ने बनाया प्रधानमंत्री मोदी का मंदिर, सुबह-शाम करता है आरती

Narendra Modi",Politics,,"Famous Personality, Person Specific",,Shocking/Surprising,text only (to),famous personality (fp),,neutral,Famous Personality,Happy ,Narendra Modi,Politics
https://www.facebook.com/1954072204870360/posts/2536317359979172/,Shoaib Akhtar Exposes Pakistan Cricket Team's Discriminatory Policy,"शोएब अख्तर ने खोली पाकिस्तान की पोल, बोले - हिंदू होने के कारण दानिश को नहीं मिलता था मौका

Shoaib Akhtar",Sports & Games,,"Cricket, Famous Personality",,Shocking/Surprising, voice of famous personality (fpv),famous personality (fp),,neutral,Famous Personality,Sad,"Danish Kaneria, Shoaib Akhtar",Sport
https://www.facebook.com/1954072204870360/posts/2536444163299825/,NEWJ Rewinds 2019 - Top 10 Wealthiest Indians,"2019 में कौन रहें भारत के 10 सबसे अमीर लोग? 

#NEWJRewinds2019",Business,,"Economy/Economic, Famous Personality ",,Compilation,text only (to),famous personality (fp),,neutral,Famous Personality,"Happy, Proud",Mukesh Ambani,Business
https://www.facebook.com/1954072204870360/posts/2536175149993393/,Ramanand Sagar - Indian Television's Showman,देश को टीवी पर पहली बार रामायण दिखाने वाले रामानंद सागर का आज है जन्मदिन,Entertainment,,"Digital/TV, Famous Personality",,Profile,text only (to),famous personality (fp),,no music,Famous Personality,Action,Ramanand Sagar ,film
https://www.facebook.com/1954072204870360/posts/2535347286742846/,"All 130 Crore Indians Are Hindus, Says Mohan Bhagwat",क्यों संघ प्रमुख मोहन भागवत ने देश के सभी लोगों को कहा हिंदू?,Politics,,"Religion, Statement/Speech",,Controversial, voice of famous personality (fpv),famous personality (fp),,no music,Famous Personality,Proud,Mohan Bhagwat,Politics
https://www.facebook.com/1954072204870360/posts/2535279080083000/,Prafulla Kumar - Odisha's 'Dancing Sir',कैसे ये डांसिंग टीचर सोशल मीडिया पर जीत रहे हैं सबका दिल?,Education,,"Internet Sensation, Person Specific, Dance",,General , common voice (optv),commoner (np),,no music,Commoner,"Happy, Action",,
https://www.facebook.com/1954072204870360/posts/2550794401864801/,Over 30000 Women Got Their Uterus Removed In Maharashtra,"क्यों कुछ पैसों की खातिर 30,000 महिलाओं ने दे दी कोख की बलि?

CMOMaharashtra | Dr Nitin Raut",Lifestyle,,"Health,  Economy/Economic",,Shocking/Surprising, common voice (optv),commoner (np),,no music,Commoner,Action,,
https://www.facebook.com/1954072204870360/posts/2540352556242319/,Free Milk In The Exchange Of Plastic Waste In Panchkula,"10 प्लास्टिक की बोतल लाओ, दूध का पैकेट फ्री में ले जाओ

Panchkula Municipal Corporation",Environment/Ecosystem,,"Crisis, Conservation",,Inspiring,text only (to),other,"auto, objects",relevant,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2535252810085627/,Ring Of Fire - Decade's Last Solar Eclipse Seen In Most Parts Of India,"देश ने देखा दशक का आखिरी सूर्य ग्रहण, प्रधानमंत्री मोदी ने शेयर की तस्वीर

Narendra Modi",Environment/Ecosystem,,Science,,General ,text only (to),other,sun,neutral,Nature,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2536227693321472/,Sevabharathi - One Of Tamil Nadu's Largest NGOs,"एक ऐसी संस्था जो लोगों को दे रही है जीवन की नई रोशनी

Sevabharathi Tamilnadu",Lifestyle,,Social Work,,Informative,other,commoner (np),,neutral,Commoner,"Happy, Proud",,
https://www.facebook.com/1954072204870360/posts/2534184340192474/,AAP Leader Bhagwant Mann's Verbal Spat With a Journalist,क्यों पत्रकार से प्रेस कॉन्फ्रेंस के दौरान भिड़ गए आम आदमी पार्टी के सांसद भगवंत मान?,Politics,,"Statement/Speech, Famous Personality",,Controversial, common voice (optv),commoner (np),,no music,Commoner,"Anger, Action",,
https://www.facebook.com/1954072204870360/posts/2534336616843913/,All That You Need To Know About NPR (National Population Register),"क्या है एनपीआर?

 Prakash Javadekar",Government,,Facts,,Explainers, voice of famous personality (fpv),famous personality (fp),,no music,Crowd,Happy ,,
https://www.facebook.com/1954072204870360/posts/2534172456860329/,Goa Police Turns Santa To Create Traffic Awareness,क्यों सड़को पर सांता क्लॉज बनी गोवा पुलिस?,Forces,,"Police, Awareness",,"Funny, Inspiring",text only (to),commoner (np),,relevant,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2535200876757487/,Truck Carrying An Abandoned Aircraft Gets Stuck Under a Flyover Bridge,कैसे हाइवे पर पुल के नीचे फंस गया ये प्लेन?,Others,,Internet Sensation,,Shocking/Surprising,text only (to),other,Aircraft,neutral,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2535349966742578/,NEWJ Rewinds 2019 - A Year Of Elections In India,"चुनावों के मामले में कैसा रहा 2019?

#NEWJRewinds2019",Politics,,"Political, Famous Personality",,Compilation, common voice (optv),commoner (np),,neutral,Famous Personality,Happy ,"Narendra Modi, Amit Shah",Politics
https://www.facebook.com/1954072204870360/posts/2534127486864826/,Marking 15 Years Of Tsunami Tragedy,15 साल बाद भी ताजा हैं सुनामी के दिए हुए जख्म,Environment/Ecosystem,,crisis,,Day-specific,text only (to),other,"Nature, sea water",neutral,"Nature, Commoner","Fear, Action",,
https://www.facebook.com/1954072204870360/posts/2533218686955706/,Aisi Taisi Democracy's Satirical Take On Pollution Crisis,"‘पल-पल दिल के पास’ के बाद अब आया पल-पल पॉल्यूशन

Aisi Taisi Democracy",Others,,"Crisis, Music",,Trending,other,commoner (np),,no music,Commoner,Action,,
https://www.facebook.com/1954072204870360/posts/2532261750384733/,Sadhvi Pragya Thakur Creates Chaos In a Flight,क्यों यात्रियों ने साध्वी प्रज्ञा से कहा “आपको शर्म आनी चाहिए”?,Politics,," Famous Personality, Crime",,"Controversial, Viral", voice of famous personality (fpv),famous personality (fp),,no music,Famous Personality,Happy ,Pragya Thakur,Politics
https://www.facebook.com/1954072204870360/posts/2532120143732227/,Rohit Sharma Breaks Jayasurya's 22-Year-Old Record,"अब किस रिकॉर्ड को तोड़ हिट हुए रोहित?

Rohit Sharma",Sports & Games,,"Cricket, Award/Achievement, Famous Personality",,"Trending, Informative",text only (to),famous personality (fp),,relevant,Famous Personality,Proud,Rohit Sharma,Sport
https://www.facebook.com/1954072204870360/posts/2533059360304972/,Those 8 Days of Kandahar Hijack Terror,कंधार हाईजैक - कैसे खत्म हुए थे डर के वो 8 दिन?,Judiciary & Crime,,Crime,,"Scary,  Day-specific",text only (to),other,"Terrorist, Aeroplane ",relevant,Other,Action,,
https://www.facebook.com/1954072204870360/posts/2540323129578595/,Farmer Becomes Millionaire By Producing Onions,"किस तरह खेती कर ये किसान कमा रहा है लाखों रुपए?

Ministry of Agriculture & Farmer’s Welfare, Government of India",Business,,Person Specific,,"Profile, Shocking/Surprising",text only (to),other,"onions, workers",neutral,"Object, Commoner",Neutral ,,
https://www.facebook.com/1954072204870360/posts/2535444810066427/,NEWJ Rewinds 2019 - Top 5 Twitter Trends Of 2019,"2019 में क्या थे ट्विटर के टॉप 5 ट्रेंडिंग हैशटैग?

#NEWJRewinds2019",Others,, Facts,,Compilation,text only (to),other,desktop/laptop screen,neutral,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2532053177072257/,Mamata Banerjee's 'CAA-CAA Chi-Chi' Protest,कौन सा रैप लेकर आईं ममता बैनर्जी?,Politics,,Protests/Rallies,,Controversial, voice of famous personality (fpv),famous personality (fp),,neutral,Famous Personality,Neutral ,Mamta Banerjee,Politics
https://www.facebook.com/1954072204870360/posts/2532163343727907/,CAA Supporters Organised Peaceful Rallies,नागरिकता कानून पर फिर से क्यों सड़कों पर उतरे लोग?,Politics,,Protests/Rallies,,"Informative, Trending",text only (to),Crowd,,loud,Crowd,Action,,
https://www.facebook.com/1954072204870360/posts/2532424340368474/,JMM-Congress Alliance Come Up Trumps In Jharkhand Elections 2019,"खंड खंड में आया झारखंड का परिणाम

Jharkhand Mukti Morcha - JMM Indian National Congress - Jharkhand BJP Jharkhand",Politics,, Facts,,General ,text only (to),commoner (np),,neutral,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2530047393939502/,Pakistan's Claim On Hyderabad Nizam's Treasure Falls Flat-Faced,"भारत के खिलाफ जाना पाकिस्तान को फिर पड़ा भारी, देना होगा 60 लाख पाउंड जुर्माना",Global News,,Judicial,,Controversial,text only (to),commoner (np),,loud,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2529986387278936/,Virat Kohli Tops The Forbes India Celebrity 100 List,"टॉप 100 सेलेब्रिटिज में सबसे उपर किंग कोहली

Virat Kohli Forbes India",Sports & Games,,"Cricket, Famous Personality, Award/Achievement",,General ,text only (to),famous personality (fp),,relevant,Famous Personality,Neutral ,Virat Kohli,Sport
https://www.facebook.com/1954072204870360/posts/2530057247271850/,Viral - Man Produces Sound Of Truck Siren Through His Vocal Chords,इस आदमी और ट्रक के बीच क्या है कनेक्शन?,Skill & Art ,,"X-Factor, Music, Person Specific",,"Shocking/Surprising, Viral", common voice (optv),commoner (np),,no music,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2540445899566318/,Dr Bindu Menon's 'Neurology On Wheels',"किस तरह दिमाग संबंधी रोगों का मुफ्त इलाज कर रही हैं डॉ बिंदू मेनन?

Axon Neuro and Rehab Care",Lifestyle,,"Health, Social Work, Person Specific",,"Profile, Inspiring",text only (to),commoner (np),,neutral,Commoner,"Happy, Action",,
https://www.facebook.com/1954072204870360/posts/2532085700402338/,NEWJ Rewinds 2019 - Rahul Gandhi Continues To Entertain,"2019 में कहां-कहां फंसे राहुल गांधी?

#NEWJRewinds2019",Politics,,"Famous Personality, Bloopers",,"Funny, Compilation", voice of famous personality (fpv),famous personality (fp),,relevant,Famous Personality,Happy ,Rahul Gandhi,Politics
https://www.facebook.com/1954072204870360/posts/2529314577346117/,Key Takeaways From IPL 2020 Auctions,"आईपीएल ऑक्शन 2020 के वो 5 खिलाड़ी, जिनके बारे में ये बातें जानना है जरुरी

IPL - Indian Premier League",Sports & Games,,Cricket,,Event,text only (to),other,picture of IPL auction,relevant,Famous Personality,Proud,Piyush Chawla,Sport
https://www.facebook.com/1954072204870360/posts/2530081497269425/,Lesser Known Fact About PV Narsimha Rao's Death,क्यों पूर्व प्रधानमंत्री पीवी नरसिम्हा राव के शव के लिए नहीं खुले थे कांग्रेस मुख्यालय के दरवाजे?,Politics,,"Famous Personality, Facts",,Shocking/Surprising,text only (to),famous personality (fp),,relevant,Famous Personality,Neutral ,PV Narsimha Rao,Politics
https://www.facebook.com/1954072204870360/posts/2529948070616101/,The Tragic Story Of Dhanushkodi Town,जानिए कहां है वो भूतिया शहर जहां एक रात में गायब हो गई 115 यात्रियों से भरी ट्रेन?,Places / Destinations,,"History, Tourism, Facts",,Shocking/Surprising,text only (to),other,haunted place,relevant,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2528279897449585/,Citizenship Amendment Act (CAA) - Truth and Lies,"नागरिकता कानून - क्या सच, क्या झूठ?",Government,,"Policies/Norms/Rules, Facts",,"Controversial, Informative",text only (to),Crowd,,relevant,Crowd,Action,,
https://www.facebook.com/1954072204870360/posts/2528060440804864/,Man Jumps Before Local Train At Kurla Station In Mumbai,चलती लोकल ट्रेन के आगे क्यों कूद पड़ा ये शख्स?,Judiciary & Crime,,"Person Specific, Crime",,Shocking/Surprising,text only (to),Crowd,,relevant,Crowd,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2528117664132475/,Controversial Speech Of Congress MLA Against Home Minister Amit Shah Creates Social Buzz,भाषण के दौरान गृह मंत्री अमित शाह के खिलाफ कांग्रेस विधायक का विवादित भाषण,Politics,,"Statement/Speech, Famous Personality",,Controversial, common voice (optv),commoner (np),,no music,Commoner,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2547902955487279/,Nirbhaya Case - All You Need To Know About Black Warrant,"जानें क्या होता है 'ब्लैक वारंट', जिससे निर्भया के मुजरिमों को मिली मौत की सजा?

#NirbhayaCase",Judiciary & Crime,,"Facts, Crime",,Explainers,other,other,hanging rope,no music,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2536245293319712/,80-Year-Old Chandrabhaga Shinde Starts Pani Puri Business To Pay Off Loans,क्यों 80 साल की उम्र में ये महिला बेच रही है पानी पुरी?,Business,,"Food, Person Specific",,"Inspiring, Emotional",text only (to),commoner (np),,relevant,Commoner,Happy ,,
https://www.facebook.com/1954072204870360/posts/2529959117281663/,NEWJ Rewinds 2019 - Top Politicians' Bloopers That Made Headlines,"कब-कब फिसली नेताओं की जुबान?

#NEWJRewinds2019",Politics,,"Bloopers, Famous Personality",,"Funny, Compilation",text only (to),commoner (np),,relevant,Famous Personality,Happy ,"Rahul Gandhi, Piyush Goyal",Politics
https://www.facebook.com/1954072204870360/posts/2536204716657103/,India's Only Brain Museum In Bengaluru,"ये है देश का पहला और इकलौता ब्रेन म्यूजियम, क्या है इस म्यूजियम में खास?",Places / Destinations,,Science,,Informative,text only (to),other,human brain pictures,relevant,Object,Neutral ,,
https://www.facebook.com/1954072204870360/posts/2527070470903861/,Uninformed CAA Protesters Exposed,कानून के बारे में पता नहीं है कुछ लेकिन फिर भी कर रहे हैं विरोध,Politics,,Protests/Rallies,,"Informative, Controversial", common voice (optv),Crowd,,relevant,Crowd,Anger,,
